text,label
"I was about to purchase this item until I noticed that ALL BUT 2 of their feedback ratings are all listed within a day or two of each other. If you click on each reviewer, you will see they have only reviewed this one item in their entire history. 6 of 8 of the reviews here clearly seem to be illegitimate.",0
"LOVE IT! The vent is a little wide, but I will keep that in mind when ordering. I bought this for a friend, and she is a very tall woman. She is very happy with it. It is very comfortable, and it is light weight. I am very pleased with the design. I have a large family, and the fact that it is a little heavier than I expected is great.",1
"This is a really good starter kit, with lots of tools and a lot of options.",1
"I read the short story version of this book right after I finished ""The Blood & Bone Trilogy. I don't remember if I left a review but I do know I gave it 3 ***'s. What I do remember was how robbed/cheated I felt because the short story should have been so much more. I can't really explain how exited & pleased I was at received an email from the Author saying she changed her mind about Suicide "", the original title and making it into a three part trilogy. Let's just leave it at there may have been some singing, The Happy, Happy, Joy Joy song & the happy dance might've made a brief appearance. This third of the new trilogy is excellent!! :) The author took a mediocre, at best, short story & turns it into an incredible novel!! She superbly snakes around the existing material and proficiently pours powerful scenes into the narrative that grab your attention and not let it go. Also, I really like that she is keeping this trilogy in the same universe of "" The Blood & Bones Trabsolutely cake &It means we already have a basic working knowledge of the paranormal place & persons. There's no time wasted in big chunks of world &/or character building. I absolutely cannot wait for the next two booka.",0
"this bota bag is awsome , perfect size , strong strap , really well made . a true spanish product , (no chinese knock off here) . easy to fill , and drink from , water or wine . a great buy .",0
I found this story to be an entertaining read. I will definitely be reading the next one.I read this book,1
"One of these days, I'm going to open up a new bag of cat food my cat doesn't like and it will get one star. That has to be, seeing as she gets herself in a tizzy over every new food I've ever given her. Iams Proactive Health is no exception. Never mind that she's far beyond being called a kitten. Yep. Cat likes it. Not too smelly for humans. Five stars.",0
Great can opener that looks nice on the countertop. I will keep my opener in the drawer.,1
"this book is wow!!! completely amazing. The characters are amazing. The plot is great. I just can't get enough of the love, love and love that you get when you read this book",1
"This is a wonderful item. I was having issues with my mattress and box spring and decided I needed additional protection for my box spring so I purchased this product. So far there is a big difference now when I lay down to get some rest. The pests ( mites, or other pests) are not bothering me. I also treated my box spring with small amounts of pesticide to add additional protection. I recommend this product, it has lifted a tremendous burden off my shoulders and allowed me to sleep well at nights.",0
"Fantastic charger, its worked perfectly and has kept the battery in good condition.Nice little speaker! Works great. Great price!Works great. The sound is great",1
Perhaps this book is for the adventurous and the reader. I will admit that I have been tempted to give this,1
"This is a nice set, but the pieces are a bit thin. There is a tiny piece of cardboard that sits on the wall, but that is the only part of it that is truly worth it. It is a good value, but it is not very sturdy.The kids LOVE this toy. They have played with it for several years. They love the sounds and the music. It is very easy to use and the kids love it. They love the fact that it is made of wood. The kids will use it",1
"Has many pockets and a shoe holding pouch. Feels very well constructed. The mesh side pocket is great for putting my water bottles in without having them get my stuff all wet from condensation. As long as you don't buy this bag with the idea of storing too much in it, it's great. Seriously, the size is written in the description and it's just a little smaller than a medium bag but perfect for a set of clothes, shoes and a few extras.",0
"The first fountain lasted less than 1 month. The cheap plastic part just broke off in my hand when I was cleaning the system for only the 3rd time. The cats, and I, were loving it up until then. After all, it was the prettiest fountain out there, plus it is mostly ceramic. My poor boy loved drinking from it! I had concerns because of all the bad reviews but was optimistic that I would have a good experience. I returned the first one to Petsmart, which is where I purchased it and decided to take a try on another one ... some of us take longer to learn than others! That one started leaking all over the floor after cleaning it for the first time when I had it for little more than 1 week. Yes, the nut on the bottom was tightened. Same experience a number of other reviewers wrote about. The water was no longer coming up through the top end of the fountain, instead started coming out the bottom. I was so disgusted I just through it in the box and drove it back to Petsmart. I will try one of the cheap ones now and see if it works. At least if it breaks, I won't feel like I got taken for a ride. I paid over $80 for this piece of garbage! LISTEN TO THE BAD REVIEWS!!!",0
These are the most affordable and effective treatments for dogs. I will continue to use this as long as I,1
"Smaller than expected; as in photo, three kids can fit comfortably in it. All ages love it. No tools required to assemble. Pieces lock in. Nice sturdy plastic. The sail area though is not meant to lean on. While it is sturdy, it isn't indestructible. Bottom of ship is open. Kids like to push it around with one child on the top deck.",0
"The CE Compass Cover for Kindle 3 is made of high density vinyl/plastic. The cover is well crafted and well designed. It effectively protects the Kindle 3 from scratches. Should you drop the Kindle, this cover would cushion the fall very effectively. All buttons on the Kindle are easily accessible. The cover is easy to open, easy to hold, easy to close. I am very pleased with my purchase.",0
"I have been waiting for this book and it did not let me down! I read the entire thing in one day. I think this may be the best one yet, and I have read them all. ""Unseen"" brings all of the characters and story lines from all the previous series' together seamlessly. I don't want to give anything away about the ending, and you can read the description of the plot on the book jacket or Amazon, so I will just end with - get writing Ms. Slaughter! Can't wait for what is next!",0
"My Boston Terrier could be the poster dog for this product. They're healthy, break without crumbling and the price is right. And, my choosy dog loves them.",0
"ok this unit arrived about 2 days after I ordered it, it was packaged very well, I was wanting the stainless steel version because I thought it would hold up much better, after I read a few things on the net I discovered that Copper actually dissipates heat better than stainless, so I got this AFTER I read copper has gone up about 40 percent lately and I didn't want to wait any longer. So far I soaked it in a vinegar solution with water to get all the goo off of it and plopped it down in the keg with boiling wart, this sanitized it, the wort was cooled to about 70 within 9 minutes this may be because I have well water and its very cold. If you are wanting to make beer on a regular basis and you have a large brew pot just get the 50 ft version, its only about 20 dollars more (at this time) and it will cool your wart that much faster and you can brew 5 gallons or 10 gallons. bottom line copper is getting freaking expensive, if you are going to get a wort chiller made of copper get it soon and get the most you can afford, don't wait today is march 4 and oil was at 105 so its just going to get more expensive and you can make cheep beer, so it will pay for its self the sooner you buy it and use it. as they say in the brew community, ""Cheers!""",0
"This is a pretty dress, it's a little bit too large. I'm a size 12.5 so I had to send it back. The fabric is a bit thin, it's just a little hard to get",1
"As a big fan of the early James Bond, I have tried to continue to enjoy the series of movies that followed the Sean Connery reign as Bond. These latter day movies with actors other than Connery (exception, Roger Moore) are just not satisfying to the older Bond fan. Judi Dench makes a very good ""M"" and Daniel Craig is almost believable as Bond. The story line is engaging. Waste your time on it if you cannot find any other movie that jumps out at you (to watch).",0
These are great shower shoes. This is my second time in Afghanistan and they work for me every time. I use them every single day here and I never have any issues.,0
